,CourseOne,CourseTwo,Relation
0,Introduction to UX,UX Research,ux_designer
1,UX Research,Design for Humans,ux_designer
2,Design for Humans,Define the Design Sprint,ux_designer
3,Define the Design Sprint,Synthesis  Research to Features,ux_designer
4,Synthesis  Research to Features,UI Principles,ux_designer
5,UI Principles,Clickable Prototyping,ux_designer
6,Clickable Prototyping,UI Design Basics,ux_designer
7,UI Design Basics,Building Interactive Designs,ux_designer
8,Building Interactive Designs,Preparing Design for Engineering Handoff,ux_designer
9,Preparing Design for Engineering Handoff,Improving Design Performance,ux_designer
